epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_f1,val_loss
85,,1052811,,,0.6134451031684875,0.6691144108772278,0.6176290512084961,0.6367160081863403
85,0.0012499999720603228,1052811,0.613861620426178,0.6368072032928467,,,,
86,,1065053,,,0.6138978004455566,0.6692284345626831,0.6117214560508728,0.6364753842353821
86,0.0012499999720603228,1065053,0.6147549748420715,0.6366756558418274,,,,
87,,1077295,,,0.6129685640335083,0.6692332029342651,0.5928056836128235,0.6370814442634583
87,0.0012499999720603228,1077295,0.6130324006080627,0.6367399096488953,,,,
88,,1089537,,,0.6136654615402222,0.6691312789916992,0.6255621314048767,0.6365082263946533
88,0.0006249999860301614,1089537,0.6137891411781311,0.6366903781890869,,,,
89,,1101779,,,0.6136118769645691,0.6692351698875427,0.6109071969985962,0.6362630128860474
89,0.0006249999860301614,1101779,0.615809440612793,0.6366835236549377,,,,
90,,1114021,,,0.6135880351066589,0.6690878868103027,0.6219712495803833,0.6363173127174377
90,0.0006249999860301614,1114021,0.6126341223716736,0.6366711258888245,,,,
91,,1126263,,,0.6136893033981323,0.6692031025886536,0.6207110285758972,0.6364322900772095
91,0.0006249999860301614,1126263,0.6146564483642578,0.6366413235664368,,,,
92,,1138505,,,0.6131770610809326,0.6691988110542297,0.6256463527679443,0.6362406015396118
92,0.0006249999860301614,1138505,0.6135266423225403,0.6365940570831299,,,,
93,,1150747,,,0.6137548089027405,0.6691966652870178,0.6045229434967041,0.6365662813186646
93,0.0006249999860301614,1150747,0.614387571811676,0.636619508266449,,,,
94,,1162989,,,0.6136178374290466,0.6691970229148865,0.6078671813011169,0.6364666223526001
94,0.0006249999860301614,1162989,0.6149480938911438,0.6367086172103882,,,,
95,,1175231,,,0.6137131452560425,0.6692227125167847,0.6054692268371582,0.636682391166687
95,0.0006249999860301614,1175231,0.6135156154632568,0.6365583539009094,,,,
96,,1187473,,,0.6135165691375732,0.6692458987236023,0.6170725226402283,0.6365129351615906
96,0.0006249999860301614,1187473,0.614594578742981,0.6365700364112854,,,,
97,,1199715,,,0.61343914270401,0.6692050695419312,0.6183090806007385,0.636825442314148
97,0.0006249999860301614,1199715,0.6138067245483398,0.6365911960601807,,,,
98,,1211957,,,0.6135344505310059,0.669217586517334,0.5992748737335205,0.6364337801933289
98,0.0006249999860301614,1211957,0.614295482635498,0.6365625858306885,,,,
99,,1224199,,,0.6137250065803528,0.6692054867744446,0.6222527623176575,0.6362934112548828
99,0.0003124999930150807,1224199,0.6134138107299805,0.6365162134170532,,,,
100,,1236441,,,0.6136297583580017,0.6692190766334534,0.6188604235649109,0.636573076248169
100,0.0003124999930150807,1236441,0.6148415207862854,0.6366316676139832,,,,
101,,1248683,,,0.613760769367218,0.6692347526550293,0.6073904633522034,0.6364327073097229
101,0.0003124999930150807,1248683,0.6142310500144958,0.6365272402763367,,,,
102,,1260925,,,0.6137309670448303,0.6691903471946716,0.601636528968811,0.6363762021064758
102,0.0003124999930150807,1260925,0.6136558055877686,0.6364138126373291,,,,
103,,1273167,,,0.6135463118553162,0.6692146062850952,0.6253644824028015,0.6365484595298767
103,0.0003124999930150807,1273167,0.6135889887809753,0.6365087032318115,,,,
104,,1285409,,,0.6138203144073486,0.6690864562988281,0.6228073835372925,0.6363697052001953
104,0.0003124999930150807,1285409,0.6142358779907227,0.6364644169807434,,,,
105,,1297651,,,0.6135880351066589,0.6691766977310181,0.6248438358306885,0.6364772319793701
